strain	accession	subtype	date	host	country	region	species	broad	order
A/swine/Molbergen/18109/2013	MK363014	H3N2	2013-06-21	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Nottuln/18090/2013	MK363006	H3N2	2013-06-25	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Coesfeld/14741-1/2012	MK362838	H3N2	2012-02-10	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Steinfurt/14736/2012	MK362830	H3N2	2012-02-02	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Haltern/14710/2012	MK362822	H3N2	2012-02-01	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Atteln/14453/2011	MK362814	H3N2	2011-12-20	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Boesel/14133/2011	MK362806	H3N2	2011-11-01	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Billerbeck/14098/2011	MK362798	H3N2	2011-10-19	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Haren/13906/2011	MK362790	H3N2	2011-09-12	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Hoerstel/13612-2/2011	MK362782	H3N2	2011-07-13	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Hoerstel/13612-1/2011	MK362774	H3N2	2011-07-13	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Lohne/13611/2011	MK362766	H3N2	2011-07-09	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Sprakensehl/14752/2012	MK362846	H3N2	2012-02-09	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Emsbueren/14771/2012	MK362854	H3N2	2012-02-09	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Bad_Wuennenberg/14810/2012	MK362870	H3N2	2012-02-19	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Nordwalde/18011/2013	MK362998	H3N2	2013-06-11	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Maerschendorf/17986/2013	MK362990	H3N2	2013-06-04	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Rhede/17728/2013	MK362974	H3N2	2013-04-22	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Bunnik/17685/2013	MK362966	H3N2	2013-04-15	Swine	Netherlands	Europe	Swine	swine	Swine
